record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
2018,BMW M240i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,21,30,24,5,No
2018,BMW M240i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,21,30,24,5,No
2018,BMW M240i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,21,30,24,5,No
2018,BMW M3,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,17,24,20,4,No
2018,BMW M3,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,17,24,20,4,No
2018,BMW M3,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,17,25,20,4,No
2018,BMW M3,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,17,25,20,4,No
2018,BMW M4 Convertible,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,16,22,19,3,No
2018,BMW M4 Convertible,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,16,22,19,3,No
2018,BMW M4 Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,17,25,20,4,No
2018,BMW M4 Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,17,25,20,4,No
2018,BMW M4 Coupe,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,17,24,20,4,No
2018,BMW M4 Coupe,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,17,24,20,4,No
2018,BMW M4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,17,25,20,4,No
2018,BMW M4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,17,25,20,4,No
2018,BMW M4 DTM Champions Edition,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,17,24,20,4,No
2018,BMW M4 DTM Champions Edition,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,17,24,20,4,No
2018,BMW M550i,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,3,16,25,19,3,No
2018,BMW M550i,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,3,16,25,19,3,No
